Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p),padj
"BBIBP (V3, D14)",I (D0-4),0.063,51,152,604,203,655,"A2M, ADM, ARL4C, ASGR2, BAX, BIRC2, C1QA, CACNB4, CD164, CD46, CD58, CHRNB2, CLNK, CNTNAP3, CXCL8, DHX9, ESCO2, F2, FFAR2, FLT1, FRK, GPR183, GPR84, GZMB, HHLA2, HLA-DMA, HPRT1, IFIH1, IL1RL1, IL1RN, KCNN3, KLF4, MARCKS, MCM7, NCK1, NFKBID, NKAP, PDE4B, PTGER2, RAB11FIP2, RAB3B, RGS1, RHOH, RPL13A, RPL39, RPS6, SGK1, SLCO2B1, TICAM1, TNFAIP6, TRIM58",25.12,7.79,2.4035411906031504e-120,119.61914843076505,9.034911335477242e-117
"BBIBP (V3, D14)","I (D10, hospital)",0.082,76,127,727,203,803,"A2M, ABCA6, ABHD12, ADM, ANXA1, ARL4C, B4GALT1, BCL2A1, BCL3, BCL6, BIRC2, CCDC150, CCL20, CCR3, CD46, CD58, CLEC4A, CRTC3, CSRP2, CTNNB1, DACH1, EREG, ESCO2, F2, FCRL5, FLT1, GATA3, GLP2R, GPR183, GPR84, GYPE, HMGB2, ICAM1, ICOS, IFIH1, IL1RN, ITGB8, ITM2A, JMJD6, JUN, KCNN3, KIF5B, KLF4, LAPTM5, MAP3K8, MARCKS, MPP1, MS4A2, NAV1, NFKBIA, NLRP3, NLRP9, NRBP1, ORM1, PDGFRA, PLCG2, PLEK, PPP2CA, PTX3, RAP1GAP, RIPK2, RPS6, SGK1, SLC24A1, SVIL, TFF3, TGFA, TMEM71, TNFAIP3, TNFAIP6, TRIB1, TSHR, TSPAN5, VAMP2, VEGFA, VIM",37.44,9.46,2.873883420138342e-103,102.54153085311812,1.0357475846178584e-99
"BBIBP (V3, D14)","I (D26, hospital)",0.081,68,135,640,203,708,"A2M, ABCA6, ABHD12, ANXA1, ARL4C, ASGR2, BCL2A1, BCL3, BCL6, CCDC150, CD46, CD58, CD69, CLNK, CSRP2, CXCL2, DACH1, EPS8, EREG, ESCO2, FCRL5, FLT1, FUT4, GATA3, GIMAP2, GLP2R, GPR84, GZMB, HMGB2, HPRT1, IL1B, IL23A, ITGB8, JMJD6, JUN, KCNN3, KIF5B, KLF4, LAPTM5, MAP3K8, MARCKS, MPP1, MS4A2, MS4A3, NAV1, NFKBIA, NRBP1, ORM1, PDGFRA, PLCG2, PLEK, PPP2CA, PTGER2, PTX3, RAP1GAP, SCNN1B, SFXN3, SLC24A1, SSC5D, SVIL, TFF3, TGFA, TMEM71, TNFAIP3, TRIB1, TSHR, VEGFA, VIM",33.5,9.6,2.297424880980237e-105,104.63875867985877,8.355734292125122e-102
"BBIBP (V3, D14)",BNT-I (D0-5),0.08,75,128,730,203,805,"ADM, AIMP1, ANXA1, ARL4C, ASGR2, BAX, BCL3, BCL6, BRD2, C1QA, CACNB4, CCL3, CD46, CD69, CHRNB2, CNIH1, CSF1, CTNNB1, DHX9, EPB42, EPS8, ESCO2, F2, FLT1, FOSL2, G0S2, GATA3, GIMAP2, GPR183, GPR84, ICAM1, ICOS, IFIH1, IL1RN, ITGB8, ITM2A, JUN, KIF5B, KLF4, MARCKS, MCM7, NAV1, NCF4, NFKBIA, NINJ1, NKAP, NLRP9, NR1H2, NRBP1, PSMA1, PTGER4, RAB3B, RAP1GAP, RARA, RELA, RGS1, RHOH, RNF19B, RPL13A, RPL39, RPS6, SFXN3, SGK1, SLCO2B1, SNCA, SOD1, SSC5D, SVIL, TICAM1, TM4SF20, TRIB1, TRIM58, TSPAN5, UBE2N, VEGFA",36.95,9.32,1.7461736533258128e-104,103.75791256880282,6.329879493306072e-101
"BBIBP (V3, D14)","ChAd (V1, D3)",0.064,61,142,755,203,816,"ABHD12, ASGR2, BAX, BCL2A1, C1QA, CACNB4, CCDC150, CCL20, CCL3, CCR3, CD58, CLEC4A, CLNK, CNTNAP3, CSF1, CXCL8, DACH1, DCAF12, DHX9, ESCO2, G0S2, GATA3, GIMAP2, GJC1, GPR82, GPR84, GYPE, GZMB, HHLA2, HLA-DMA, HPRT1, ICOS, IFIH1, IL23A, ITGB8, LGALS3, MAFB, MARCKS, MPP1, MTHFD1, NLRP3, NRBP1, OSBPL10, PBX1, PDE4B, PSD3, PSMA1, PSME1, RAB11FIP2, RAP1GAP, RHOH, RPL13A, RPL39, RPS6, SFXN3, SLC24A1, SLC31A2, SLCO2B1, SNCA, VAMP2, VIM",30.05,7.48,3.4152664789056406e-121,120.46657540448518,1.2865308826037547e-117
"BBIBP (V3, D14)","ChAd-BNT (V2, D7)",0.097,73,130,549,203,622,"ADM, B4GALT1, BCL2A1, BCL3, BCL6, BIRC2, C1QA, CCDC150, CCL20, CCL3, CD83, CLEC4A, CNTNAP3, CSF1, CTNNB1, CXCL2, CXCL8, EPB42, EPS8, ESCO2, F2RL3, FCRL5, FFAR2, G0S2, GPR84, ICAM1, IL1B, IL1RN, IL23A, IRF1, JMJD6, KCNN3, LAPTM5, LGALS3, MAFB, MARCKS, MCM7, MPP1, MTHFD1, NFKB2, NFKBIA, NFKBID, NINJ1, NKAP, NLRP3, NLRP9, NRBP1, PBX1, PDE4B, PDGFRA, PLEK, PPP2CA, PSME1, PTGER4, PTX3, RAB3B, RAP1GAP, RARA, RHOH, RIPK2, RNF19B, RPL13A, SCNN1B, SGK1, SLC31A2, SNCA, TICAM1, TNFAIP3, TNFAIP6, TRIM58, TSHR, UBE2N, VIM",35.96,11.74,2.5205510318893847e-93,92.59850450527063,8.774038142006949e-90
"BBIBP (V3, D14)","I (D51, hospital)",0.128,70,133,343,203,413,"ABCA6, ADM, ANXA1, B4GALT1, BAX, BCL2A1, BCL3, BCL6, BRD2, CCDC150, CCL20, CD46, CD83, CLNK, CSRP2, EPB42, EREG, ESCO2, FCRL5, FLT1, FUT4, G0S2, GIMAP2, GLP2R, GPR84, HMGB2, ICAM1, IFIH1, IFNG, IL1A, IL1RN, IRF1, IRF2BP2, JMJD6, KIF5B, KLF4, LAPTM5, LGALS3, MAP3K8, MARCKS, MPP1, NFKB2, NFKBIA, NFKBID, NINJ1, NR1H2, NRBP1, PDE4B, PLEK, PPP2CA, PSME1, PTX3, RAB11FIP2, RAP1GAP, RELA, RHOH, RIPK2, RNF19B, RPS6, SFXN3, SNCA, SSC5D, TFF3, TICAM1, TNFAIP3, TNFAIP6, TRIB1, VAMP2, VIM, WNT4",34.48,16.95,2.066719940952479e-75,74.68471837017456,6.648638050044124e-72
"BBIBP (V3, D14)",I-BNT (D5),0.054,26,177,281,203,307,"ASGR2, CSMD1, DHX9, EPB42, F2, FFAR2, FOSL2, FRK, GLP2R, GPR183, GYPE, HHLA2, HLA-DMA, IL1B, IRF1, MARCKS, MPP1, NFKBID, NLRP3, ORM1, PDE4B, PLCG2, RARA, SGK1, SLC31A2, SVIL",12.81,8.47,1.1613208647700895e-104,103.93504777117734,4.2155947391154245e-101
"BBIBP (V3, D14)",I-I (D0-5),0.055,28,175,307,203,335,"ASGR2, BIRC2, CD164, CHRNB2, CNTNAP3, DHX9, EREG, ESCO2, F2, FLT1, GPR183, GZMB, IFIH1, IL1RL1, IL1RN, ITGB4, KLF4, MARCKS, NCK1, NFKBID, ORM1, PTGER2, RHOH, RPL13A, RPS6, SLCO2B1, TICAM1, TNFAIP6",13.79,8.36,1.8549002029126156e-107,106.7316794512728,6.788934742660174e-104
"BBIBP (V3, D14)","BNT-MO (V3, D1)",0.053,14,189,60,203,74,"CD58, CHRNB2, CSPG4, FLRT2, FLT1, FRK, GJC1, KCNN3, MARCKS, MASP1, RPL39, SCN1A, SYT2, TF",6.9,18.92,3.580598980507191e-46,45.44604431632552,9.416975318733912e-43
"BBIBP (V3, D14)","ZF2001 (V3, D28)",0.111,38,165,139,203,177,"BIRC2, CCL20, CCL3, CHRNB2, CNIH1, CSF1, CXCL2, CXCL8, FOSL2, G0S2, GLP2R, HPRT1, IDO2, IFNG, IL1B, ITGB4, ITM2A, MARCKS, NFKBIA, NFKBID, NLRP9, ORM1, PPP2CA, PSME1, PTGER2, PTGER4, PTX3, RELA, RPL13A, SOD1, SYT2, TFF3, TICAM1, TNFAIP3, UBE2N, VEGFA, WNT3A, WNT4",18.72,21.47,8.924720818738495e-61,60.04940536051299,2.663136692311567e-57
"BBIBP (V3, D14)","ZF2001 (V3, D07)",0.214,149,54,492,203,641,"ABCA6, ABHD12, ADM, ARL4C, B4GALT1, BAX, BCL2A1, BCL3, BCL6, BIRC2, C4B, C4BPB, CACNB4, CCDC150, CCL20, CCL3, CD69, CD83, CFHR1, CHRM2, CHRNB2, CHRNB4, CHST3, CLCA4, CLEC4A, CLNK, CNIH1, CNTNAP3, COL8A1, CPLX2, CRTC3, CSF1, CSMD1, CSPG4, CSRP2, CTNNB1, CXCL2, CXCL8, DHX9, EMP1, EMP2, EREG, ESCO2, F2, FAU, FCRL5, FFAR2, FLRT2, FLT1, FOSL2, FOXI3, FRK, FUT4, G0S2, GHR, GJC1, GLP2R, GNG10, GPR183, GPR82, GPR84, GXYLT2, GYPE, HHIP, HHLA2, HPRT1, HTN1, HTN3, ICAM1, ICOS, IDO2, IFIH1, IL1A, IL1B, IL1RN, IL23A, IRF1, IRF2BP2, ITGB4, ITGB8, ITM2A, JMJD6, KCNE4, KCNN3, LAPTM5, LGALS3, LRRTM4, LYZ, MAFB, MAP3K8, MARCKS, MASP1, MPP1, MS4A2, MTHFD1, NAV1, NEDD4, NFKBIA, NINJ1, NKAP, NKX2-3, NLRP3, NLRP9, NOX4, NRBP1, NRXN3, OSBPL10, PDE4B, PLCG2, PLEK, POPDC3, PPP2CA, PSMA1, PSME1, PTGER2, PTGER4, PTX3, RAB3B, RAET1G, RARA, RELA, RGS1, RHOH, RIPK2, RNF19B, ROBO2, RPL13A, RPL39, SCN1A, SCNN1B, SGK1, SLC24A1, SLC31A2, SLCO2B1, SSC5D, SYT2, TF, TICAM1, TM4SF20, TNFAIP3, TNFAIP6, TRIB1, TRIM49D1, UBE2N, VAMP2, VIM, WFDC11, WNT3A, WNT4",73.4,23.24,4.819818746079731e-32,31.316969293515818,1.1013285834792185e-28
"BBIBP (V3, D14)","ZF2001 (V3, D14)",0.155,72,131,262,203,334,"ABCA6, ABHD12, ADM, BIRC2, C4BPB, CACNB4, CCL3, CD164, CHRNB2, CHST3, CLNK, CNIH1, CSF1, CTNNB1, CXCL2, CXCL8, EMP2, F2RL3, FFAR2, FOSL2, FOXI3, FRK, FUT4, G0S2, GIMAP2, GLP2R, GNG10, GPR82, GXYLT2, HPRT1, HTN1, IDO2, IL1B, IL1RN, IRF2BP2, ITGB4, KCNE4, KCNMB3, KLF4, LRRTM4, MARCKS, MS4A2, MTHFD1, NEDD4, NFKBIA, NKAP, NLRP9, NOX4, ORM1, OSBPL10, PLEK, PPP2CA, PSMA1, PSME1, PTGER2, PTX3, RAB3B, RNF19B, RPL13A, SCN1A, SLC24A1, SLC31A2, SSC5D, SYT2, TFF3, TICAM1, TM4SF20, TRIB1, UBE2N, VIM, WFDC11, WNT4",35.47,21.56,2.58456499405961e-63,62.587612542155014,7.864831276923392e-60
"BBIBP (V3, D14)","BNT-I (D51, hospital)",0.048,23,180,272,203,295,"AIMP1, ANXA1, CCDC150, CCL3, CD69, DCAF12, F2, GIMAP2, GLP2R, GYPE, IL1B, NCF4, NEDD4, PPP2CA, PTGER4, RAB11FIP2, RAB3B, RARA, RHOH, TGFA, TNFAIP3, TSPAN5, UBE2N",11.33,7.8,4.345955287797838e-106,105.36191474611549,1.584100702402312e-102
"BBIBP (V3, D14)","BNT (V3, D1)",0.005,1,202,15,203,16,LGALS3,0.49,6.25,2.8691215807791013e-22,21.542251047870174,5.666515122038725e-19
"BBIBP (V3, D14)","BBIBP (V3, D07)",0.243,63,140,56,203,119,"ADM, ANXA1, B4GALT1, BCL3, BCL6, BRD2, C1QA, CCL3, CD69, CD83, CNIH1, CSF1, CTNNB1, CXCL8, EMP1, EREG, FAU, FUT4, G0S2, GATA3, GPR183, GPR84, HLA-DMA, ICAM1, ICOS, IDO2, IFIH1, IFNG, IL1B, IRF2BP2, ITM2A, JMJD6, JUN, KLF4, LAPTM5, LGALS3, MAFB, MAP3K8, MARCKS, MS4A2, NFKBIA, NINJ1, NLRP3, NR1H2, PDE4B, PLEK, POPDC3, PPP2CA, PSMA1, PTGER2, PTGER4, PTX3, RGS1, RHOH, RIPK2, RNF19B, RPL39, SGK1, SLC24A1, TICAM1, TNFAIP3, TRIB1, VIM",31.03,52.94,1.240681047362844e-23,22.906339852001647,2.5173418450992104e-20
"BBIBP (V3, D14)","BNT (V1, D6)",0.018,5,198,71,203,76,"ARL4C, C4B, CHRNB2, CSPG4, GYPE",2.46,6.58,2.780434723758305e-60,59.55588729639515,8.269012868457199e-57
"BBIBP (V3, D14)","ChAd (V1, D6)",0.011,3,200,59,203,62,"CSMD1, FOSL2, LAPTM5",1.48,4.84,1.3017106170415334e-55,54.88548555293422,3.722892364738785e-52
"BBIBP (V3, D14)","ChAd (V2, D1)",0.009,2,201,26,203,28,"ARL4C, EREG",0.99,7.14,2.937569267589609e-32,31.53201188397901,6.735846330582974e-29
"BBIBP (V3, D14)","ChAd-BNT (V3, D1)",0,0,203,8,203,8,,0,0,1.1737823046553337e-14,13.930412441975683,1.9707804895163053e-11
"BBIBP (V3, D14)",Yellow Fever/LA (D1),0.115,52,151,251,203,330,"ARL4C, B4GALT1, BCL2A1, BCL6, BIRC2, CCL20, CCR3, CD69, CD83, CPLX2, CTNNB1, CXCL2, CXCL8, DHX9, EREG, FOSL2, G0S2, GPR183, GZMB, ICAM1, ICOS, IFNG, IL1A, IL1B, IL1RN, IRF1, JMJD6, JUN, MAP3K8, MARCKS, NFKB2, NFKBIA, NINJ1, NLRP3, NRBP1, PBX1, PDE4B, PLEK, PPP2CA, PSD3, PSME1, PTGER4, RAB11FIP2, RELA, RGS1, RIPK2, RNF19B, SGK1, SNCA, TICAM1, TNFAIP3, VEGFA",25.62,15.76,9.348519397118423e-76,75.02925716651558,3.0139626536309795e-72
"BBIBP (V3, D14)",HIV/VV (D1),0.076,46,157,406,203,461,"ADM, ARL4C, ASGR2, BCL2A1, BRD2, CD69, CSF1, EMP1, FFAR2, FLT1, FUT4, G0S2, GZMB, HLA-DMA, ICAM1, IFIH1, IL1RN, IL23A, IRF1, ITM2A, JMJD6, JUN, KLF4, LAPTM5, MAFB, MARCKS, MCM7, MTHFD1, NCF4, NFKB2, NINJ1, NLRP3, NR1H2, NRBP1, PLEK, PSME1, RARA, RHOH, RIPK2, RNF19B, RPS6, SLC31A2, SOD1, TNFAIP6, UBE2N, VAMP2",22.66,9.98,3.0375162152141154e-104,103.5174813949873,1.0998846215290312e-100
"BBIBP (V3, D14)",Pneumococcus/PS (D1),0.058,18,185,108,203,139,"ADM, BCL6, CD58, CD69, IL1B, IL1RN, MAP3K8, MCM7, MS4A3, NCF4, NINJ1, NLRP3, PSMA1, RNF19B, SOD1, SVIL, TNFAIP6, TRIB1",8.87,12.95,3.57481748087801e-65,64.44674612702963,1.0996138571180759e-61
"BBIBP (V3, D14)",Influenza/IN (D1),0.09,76,127,641,203,722,"A2M, ADM, ANXA1, ARL4C, ASGR2, BCL2A1, BCL6, C1QA, CD46, CD69, CD83, CNIH1, CXCL8, DHX9, EMP1, F2RL3, FAU, FFAR2, FUT4, GATA3, GPR183, GZMB, HLA-DMA, ICAM1, ICOS, IFIH1, IL1B, IL1RN, IL23A, IRF1, ITM2A, JUN, KIF5B, KLF4, LAPTM5, LYZ, MAFB, MAP3K8, MARCKS, MCM7, MTHFD1, NCK1, NFKB2, NFKBIA, NINJ1, NLRP3, NR1H2, OSBPL10, PBX1, PDE4B, PLEK, PSD3, PSMA1, PSME1, PTGER2, RARA, RGS1, RHOH, RIPK2, RNF19B, RPS6, SGK1, SLC24A1, SLC31A2, SNCA, SOD1, SVIL, TGFA, TICAM1, TNFAIP3, TNFAIP6, TRIB1, UBE2N, VAMP2, VEGFA, VIM",37.44,10.53,1.704949821494784e-97,96.76828839823665,6.021882769519576e-94
"BBIBP (V3, D14)",Ebola/VV (D1),0.073,57,146,576,203,633,"ADM, ARL4C, ASGR2, B4GALT1, BAX, BRD2, C4BPB, CD164, CD69, CHRNB2, CSF1, CXCL8, DACH1, DHX9, EMP1, EREG, FFAR2, FUT4, GPR183, HPRT1, HTN1, HTN3, ICAM1, IFIH1, IL1B, IL1RN, IL23A, IRF1, ITM2A, JUN, LAPTM5, LRRTM4, MAFB, MARCKS, MCM7, NFKBIA, NLRP3, NOX4, OSBPL10, PBX1, PDE4B, PLEK, POPDC3, PSMA1, PSME1, RGS1, RIPK2, RNF19B, RPS6, SFXN3, SGK1, SLC31A2, TICAM1, TNFAIP3, TNFAIP6, VAMP2, VIM",28.08,9,2.2284126989055793e-111,110.65200437532079,8.238441747853926e-108
"BBIBP (V3, D14)",Malaria/SU (D1),0.073,60,143,621,203,681,"ADM, AIMP1, ARL4C, ASGR2, BCL2A1, BCL6, C1QA, CD46, CD69, CLEC4A, CNIH1, CSF1, FAU, FFAR2, FUT4, GATA3, GPR183, GZMB, HLA-DMA, HMGB2, ICAM1, ICOS, IFIH1, IL1B, IL1RL1, IL1RN, IL23A, IRF1, ITM2A, JMJD6, JUN, KLF4, LAPTM5, LYZ, MAFB, MAP3K8, MARCKS, MCM7, MTHFD1, NCF4, NINJ1, NLRP3, NR1H2, OSBPL10, PDGFC, PLEK, PSME1, PTGER2, RHOH, RIPK2, RNF19B, RPS6, SGK1, SLC31A2, SOD1, TICAM1, TNFAIP3, TNFAIP6, TRIB1, VAMP2",29.56,8.81,4.023908667020937e-112,111.39535188527294,1.490455770264555e-108
"BBIBP (V3, D14)",Varicella Zoster/LA (D1),0,0,203,18,203,18,,0,0,8.245392032126922e-27,26.083788690736032,1.7537948852333962e-23
"BBIBP (V3, D14)",Tuberculosis/VV (D2),0.021,5,198,34,203,39,"CD58, CNIH1, FFAR2, FUT4, MAFB",2.46,12.82,3.7081161542558954e-36,35.43084667033059,8.84385702790031e-33
"BBIBP (V3, D14)",Yellow Fever/LA (D2),0.059,16,187,66,203,82,"ARL4C, CD69, CD83, CXCL2, CXCL8, FOSL2, G0S2, IFIH1, IL1B, JUN, NFKBIA, NINJ1, PDE4B, RGS1, RIPK2, TNFAIP3",7.88,19.51,5.985367239259605e-48,47.22290919779039,1.5951003692626849e-44
"BBIBP (V3, D14)",Influenza/IN (D2),0.022,6,197,64,203,70,"ARL4C, C1QA, GATA3, NRBP1, PSME1, VAMP2",2.96,8.57,3.1596822866942145e-55,54.50035658449313,9.0114138816519e-52
"BBIBP (V3, D14)",Ebola/VV (D3),0.075,44,159,386,203,430,"AIMP1, ARL4C, BAX, BCL6, BRD2, C1QA, CCR3, CD164, CD46, CD69, CD83, CLEC4A, DACH1, EPS8, FFAR2, FLT1, FOSL2, FUT4, GZMB, IFIH1, IL1RN, ITGB4, JUN, KCNN3, KLF4, MAFB, NCF4, NLRP3, NR1H2, OSBPL10, PBX1, PDE4B, PLCG2, PSME1, PTGER2, SFXN3, SGK1, SVIL, SYT2, TGFA, TICAM1, TRIB1, TSPAN5, UBE2N",21.67,10.23,1.466837318531084e-103,102.83361804947094,5.293815882578683e-100
